1;;;;;;;;;;;;
;0;КПБ A-154_2;;;;;;;;;;TTA-154_2 1.5 спальный
;0;Простынь сатин фуксия (PRC-10);;;;;;;;;;TTPRC-10 220x240
;0;КПБ RS-145;;;;;;;;;;TTRS-145 Евро (2 наволочки)
;0;КПБ RS-149;;;;;;;;;;TTRS-149 Евро (2 наволочки)
;0;КПБ TJ-16;;;;;;;;;;TTTJ-16 2 спальный
;0;КПБ TJ-17;;;;;;;;;;TTTJ-17 Евро
;0;КПБ A-158;;;;;;;;;;TTA-158 Евро
;0;КПБ 100-55;;;;;;;;;;TT100-55 Евро
;0;КПБ 110-68;;;;;;;;;;TT110-68 Семейный
;0;КПБ Хлопок сатин с вышивкой ES-14;;;;;;;;;;TTES-14 1.5 спальный
;0;КПБ RS-125;;;;;;;;;;TTRS-125 Евро (4 наволочки)
;0;КПБ RS-126;;;;;;;;;;TTRS-126 2 спальный (4 наволочки)
;0;КПБ RS-130;;;;;;;;;;TTRS-130 Евро (2 наволочки)
;0;КПБ TJ-11;;;;;;;;;;TTTJ-11 Евро
;0;КПБ TJ-12;;;;;;;;;;TTTJ-12 2 спальный
;0;КПБ RS-36;;;;;;;;;;TTRS-36 Евро (2 наволочки)
;0;КПБ RS-41;;;;;;;;;;TTRS-41 Евро (2 наволочки)
;0;КПБ RS-44;;;;;;;;;;TTRS-44 Евро (2 наволочки)
;0;КПБ RS-60;;;;;;;;;;TTRS-60 2 спальный (4 наволочки)
;0;КПБ RS-63;;;;;;;;;;TTRS-63 2 спальный (4 наволочки)
;0;КПБ A-124;;;;;;;;;;TTA-124 2 спальный
;0;КПБ A-139;;;;;;;;;;TTA-139 1.5 спальный
;0;КПБ A-127;;;;;;;;;;TTA-127 1.5 спальный
;0;КПБ B-110;;;;;;;;;;TTB-110 2 спальный
;0;КПБ B-110;;;;;;;;;;TTB-110 Евро
;0;КПБ SDS-32;;;;;;;;;;TTSDS-32 Семейный
;0;КПБ Хлопок сатин с вышивкой ES-02;;;;;;;;;;TTES-02 1.5 спальный
