1;;;;
;TTRS-62 Евро (2 наволочки);Color:color:0;коричневый:0;TTRS-62 Евро (2 наволочки)
;TTRS-62 Евро (4 наволочки);Color:color:0;коричневый:0;TTRS-62 Евро (4 наволочки)
;TTRS-68 Евро (2 наволочки);Color:color:0;белый:0;TTRS-68 Евро (2 наволочки)
;TTA-126 2 спальный;Color:color:0;серый:0;TTA-126 2 спальный
;TTA-126 Евро;Color:color:0;серый:0;TTA-126 Евро
;TTA-132 2 спальный;Color:color:0;серый:0;TTA-132 2 спальный
;TTA-138 2 спальный;Color:color:0;голубой:0;TTA-138 2 спальный
;TTA-138 Евро;Color:color:0;голубой:0;TTA-138 Евро
;TTRS-106 Евро (2 наволочки);Color:color:0;белый:0;TTRS-106 Евро (2 наволочки)
;TTSDS-32 Евро;Color:color:0;красный:0;TTSDS-32 Евро
;TTTJ-14 2 спальный;Color:color:0;сиреневый:0;TTTJ-14 2 спальный
;TTTJ-14 Евро;Color:color:0;сиреневый:0;TTTJ-14 Евро
;TTMF-13 Семейный;Color:color:0;коричневый:0;TTMF-13 Семейный
;TTA-128 2 спальный;Color:color:0;розовый:0;TTA-128 2 спальный
;TTA-128 Семейный;Color:color:0;розовый:0;TTA-128 Семейный
;TTRS-113 Евро (2 наволочки);Color:color:0;зеленый:0;TTRS-113 Евро (2 наволочки)
;TTSK 01 160х300;Color:color:0;бежевый:0;TTSK 01 160х300
;TTSK 01 160х220 овальная;Color:color:0;бежевый:0;TTSK 01 160х220 овальная
;TTSK 01 150х180;Color:color:0;бежевый:0;TTSK 01 150х180
;TTSK 01 160х220;Color:color:0;бежевый:0;TTSK 01 160х220
;TTSK 10 160 см круглая;Color:color:0;белый:0;TTSK 10 160 см круглая
;TTSK 10 180 см круглая;Color:color:0;белый:0;TTSK 10 180 см круглая
;TTA-140 2 спальный;Color:color:0;серый:0;TTA-140 2 спальный
;TTODA 195x215;Color:color:0;белый:0;TTODA 195x215
;TTDS-08 1.5 спальный;Color:color:0;синий:0;TTDS-08 1.5 спальный
